happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation,year,country
happy,2.065903622584789,2.210539924469436,0.09925925925925926,0.0637037037037037,0.028148148148148148,0.05037037037037037,0.02962962962962963,0.0637037037037037,0.08296296296296296,2008,Denmark
happy,2.9289514516575017,1.775831790411496,0.05303030303030303,0.045454545454545456,0.022727272727272728,0.027777777777777776,0.025252525252525252,0.07828282828282829,0.11363636363636363,2008,Portugal
happy,24.888220279448667,30.419054777699728,0.09533468559837728,0.060851926977687626,0.034482758620689655,0.05273833671399594,0.032454361054766734,0.05476673427991886,0.10141987829614604,2008,Germany
not-happy,7.631119671917013,4.361905057446459,0.07507987220447285,0.04153354632587859,0.02875399361022364,0.02875399361022364,0.03354632587859425,0.0926517571884984,0.07987220447284345,2008,Bangladesh
not-happy,4.101313628840034,2.715190141547135,0.04607046070460705,0.03523035230352303,0.018970189701897018,0.02168021680216802,0.016260162601626018,0.11382113821138211,0.1111111111111111,2008,Mozambique
not-happy,2.5127004319875725,1.790539769333642,0.06862745098039216,0.05392156862745098,0.021241830065359478,0.042483660130718956,0.03104575163398693,0.0718954248366013,0.08986928104575163,2008,Zimbabwe
happy,0.5422282167585462,0.4211230465472167,0.09828009828009827,0.056511056511056514,0.02702702702702703,0.051597051597051594,0.02702702702702703,0.051597051597051594,0.09090909090909091,2008,Estonia
happy,1.1673407337321373,0.8865477151175211,0.08311688311688312,0.046753246753246755,0.02857142857142857,0.05194805194805195,0.02077922077922078,0.06753246753246753,0.07792207792207792,2008,Lithuania
not-happy,0.6499859227548881,0.40465414445152764,0.05357142857142857,0.03968253968253968,0.025793650793650792,0.021825396825396824,0.011904761904761904,0.07738095238095238,0.14484126984126985,2008,Latvia
not-happy,0.43386773208207524,0.10362740750619114,0.08403361344537816,0.07352941176470588,0.025210084033613446,0.058823529411764705,0.023109243697478993,0.058823529411764705,0.0819327731092437,2008,Armenia
not-happy,0.5657725774246125,3.76851502505406,0.036585365853658534,0.01707317073170732,0.01951219512195122,0.024390243902439025,0.012195121951219513,0.07317073170731707,0.1024390243902439,2008,Azerbaijan
happy,2.2714120015832013,1.6849373222716804,0.07835820895522388,0.055970149253731345,0.026119402985074626,0.0708955223880597,0.029850746268656716,0.06716417910447761,0.10074626865671642,2008,Uzbekistan
not-happy,1.4719796358914083,0.650538737700513,0.06858710562414266,0.04252400548696845,0.03155006858710562,0.03566529492455418,0.02606310013717421,0.1083676268861454,0.07544581618655692,2008,Tajikistan
happy,1.918395960957847,3.6014218454412923,0.05921052631578947,0.03289473684210526,0.03618421052631579,0.023026315789473683,0.019736842105263157,0.0756578947368421,0.10197368421052631,2008,Kazakhstan
not-happy,0.67365017551831,0.15985917993862048,0.12938816449348045,0.11735205616850551,0.028084252758274825,0.055165496489468405,0.024072216649949848,0.048144433299899696,0.0712136409227683,2008,Georgia
not-happy,0.9829277299993334,0.39050488367819236,0.03409090909090909,0.022727272727272728,0.026515151515151516,0.01893939393939394,0.01893939393939394,0.08333333333333333,0.10227272727272728,2008,Kyrgyzstan
happy,14.827950870628301,13.210717291956295,0.07021791767554479,0.04600484261501211,0.026634382566585957,0.03389830508474576,0.01694915254237288,0.07263922518159806,0.1089588377723971,2009,Mexico
not-happy,1.147813218865947,0.9053018429232976,0.09325842696629214,0.07078651685393259,0.03258426966292135,0.05393258426966292,0.04269662921348315,0.07078651685393259,0.09662921348314607,2009,Sri Lanka
not-happy,8.229991178669279,7.036851308399709,0.075046904315197,0.05065666041275797,0.028142589118198873,0.039399624765478425,0.0300187617260788,0.075046904315197,0.09193245778611632,2009,Philippines
happy,0.711098260818878,0.5483811660159328,0.09878682842287695,0.06239168110918544,0.0415944540727903,0.045060658578856154,0.03466204506065858,0.0779896013864818,0.10398613518197573,2009,Costa Rica
happy,1.4891096802291293,1.3422702877880377,0.0583756345177665,0.031725888324873094,0.031725888324873094,0.03426395939086294,0.0266497461928934,0.06472081218274112,0.07614213197969544,2009,Ecuador
not-happy,65.44130203791619,41.954317499487495,0.07169117647058823,0.05514705882352941,0.027573529411764705,0.029411764705882353,0.029411764705882353,0.06985294117647059,0.09558823529411764,2009,India
happy,1.811068591747431,2.599744099532936,0.06692160611854685,0.05162523900573614,0.015296367112810707,0.040152963671128104,0.0248565965583174,0.05927342256214149,0.10325047801147227,2009,Argentina
